node,longitude,latitude,centrality_score,road_diversity,major_road_access,combined_score
start_1078189875,76.8502914,28.2583158,3,1,0,1.8
start_1078986679,76.8498399,28.2633806,3,1,0,1.8
start_1081671565,76.8291337,28.2619768,3,1,0,1.8
start_164583914,76.610304,28.2512033,1,1,1,1.0
start_152852291,76.8335595,28.2658993,1,1,0,0.8
end_1077638653,76.8079977,28.2402056,1,1,0,0.8
start_1076742643,76.5131258,28.255339,1,1,0,0.8
end_170002869,76.6782638,28.248158,1,1,0,0.8
start_1076791872,76.6429862,28.2557736,1,1,0,0.8
start_1076765957,76.6048535,28.2757293,1,1,0,0.8
end_1075771810,76.5832654,28.247078,1,1,0,0.8
start_170002867,76.6771393,28.2437253,1,1,0,0.8
start_1281084820,76.8179103,28.2489545,1,1,0,0.8
start_164583928,76.6086779,28.2400031,0,1,1,0.5
start_162031824,76.5138104,28.2445357,0,1,1,0.5
end_162031824,76.5000341,28.2493566,0,1,1,0.5
start_169591692,76.8802348,28.2799195,0,1,1,0.5
end_169591692,76.899637,28.2715429,0,1,1,0.5
start_315647806,76.6127929,28.2697104,0,1,1,0.5
end_315647806,76.6136295,28.2799324,0,1,1,0.5
